地图编号,地图名字,地图品质,地图等级,普通怪物1,普通数量1,普通怪物2,普通数量2,普通怪物3,普通数量3,普通怪物4,普通数量4,普通怪物5,普通数量5,普通怪物6,普通数量6,精英干将1,精英数量1,精英干将2,精英数量2,精英干将3,精英数量3,头目首领,头目数量
41,炙焰冥寺,3,40,小树妖2867,20,稻草人2868,20,钉耙猫2869,20,山洞蝙蝠2899,20,0,0,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
41,炙焰冥寺,3,45,山洞蝙蝠2899,20,暗黑战士2903,20,沃玛勇士2901,20,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
41,炙焰冥寺,3,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,祖玛老鼠2913,25,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
41,炙焰冥寺,3,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,月魔蜘蛛2801,30,0,0,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
41,炙焰冥寺,3,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,暴牙蜘蛛2804,20,牛魔侍卫2921,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
41,炙焰冥寺,3,65,牛魔侍卫2921,30,牛魔斗士2922,30,牛魔将军2924,20,小树妖2867,20,0,0,0,0,牛魔法王2925,20,0,0,0,0,牛魔战士2926,3
41,炙焰冥寺,4,40,小树妖2867,20,稻草人2868,20,钉耙猫2869,20,海蟹2870,20,山洞蝙蝠2899,20,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
41,炙焰冥寺,4,45,山洞蝙蝠2899,20,沃玛战士2900,20,沃玛勇士2901,20,暗黑战士2903,20,红野猪2907,25,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
41,炙焰冥寺,4,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,野猪射手2910,20,祖玛老鼠2913,25,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
41,炙焰冥寺,4,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,祖玛弓箭手2916,20,月魔蜘蛛2801,30,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
41,炙焰冥寺,4,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,黑锷蜘蛛2803,20,暴牙蜘蛛2804,20,牛魔侍卫2921,30,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
41,炙焰冥寺,4,65,牛魔侍卫2921,30,牛魔斗士2922,30,牛魔法师2923,20,牛魔将军2924,20,恶蛆2886,20,0,0,牛魔法王2925,20,0,0,0,0,牛魔战士2926,3
42,虫谷密林,0,40,恶蛆2886,20,蜈蚣2887,20,蠕虫2888,20,山洞蝙蝠2899,20,0,0,0,0,杀人蜂2891,10,0,0,0,0,虹魔蝎卫2892,1
42,虫谷密林,0,45,山洞蝙蝠2899,20,沃玛战士2900,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
42,虫谷密林,0,50,恶蛆2906,25,红野猪2907,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
42,虫谷密林,0,55,祖玛老鼠2913,25,祖玛卫士2914,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
42,虫谷密林,0,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,骷髅刀斧手2822,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
42,虫谷密林,0,65,骷髅刀斧手2822,30,骷髅长枪兵2823,30,骷髅弓箭手2824,20,恶蛆2886,20,0,0,0,0,骷髅锤兵2825,20,0,0,0,0,骨夺2826,3
42,虫谷密林,1,40,恶蛆2886,20,蜈蚣2887,20,跳跳蜂幼虫2889,20,山洞蝙蝠2899,20,0,0,0,0,杀人蜂2891,10,0,0,0,0,虹魔蝎卫2892,1
42,虫谷密林,1,45,山洞蝙蝠2899,20,沃玛勇士2901,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
42,虫谷密林,1,50,恶蛆2906,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
42,虫谷密林,1,55,祖玛老鼠2913,25,祖玛雕像2915,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
42,虫谷密林,1,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,匍匐僵尸2821,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
42,虫谷密林,1,65,匍匐僵尸2821,30,干枯僵尸2828,30,恶灵僵尸2829,20,恶蛆2886,20,0,0,0,0,骷髅锤兵2825,20,0,0,0,0,骨夺2826,3
42,虫谷密林,2,40,恶蛆2886,20,蜈蚣2887,20,跳跳蜂2890,20,山洞蝙蝠2899,20,0,0,0,0,杀人蜂2891,10,0,0,0,0,虹魔蝎卫2892,1
42,虫谷密林,2,45,山洞蝙蝠2899,20,沃玛战将2902,20,红野猪2907,25,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
42,虫谷密林,2,50,红野猪2907,25,黑野猪2908,25,祖玛老鼠2913,25,祖玛老鼠2913,25,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
42,虫谷密林,2,55,祖玛老鼠2913,25,祖玛弓箭手2916,25,月魔蜘蛛2801,30,月魔蜘蛛2801,30,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
42,虫谷密林,2,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,暴牙蜘蛛2804,20,匍匐僵尸2821,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
42,虫谷密林,2,65,匍匐僵尸2821,30,干枯僵尸2828,30,恶灵尸王2830,20,蜈蚣2887,20,0,0,0,0,骷髅锤兵2825,20,0,0,0,0,骨夺2826,3
42,虫谷密林,3,40,蜈蚣2887,20,蠕虫2888,20,跳跳蜂幼虫2889,20,山洞蝙蝠2899,20,0,0,0,0,杀人蜂2891,10,0,0,0,0,虹魔蝎卫2892,1
42,虫谷密林,3,45,山洞蝙蝠2899,20,暗黑战士2903,20,沃玛勇士2901,20,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
42,虫谷密林,3,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,祖玛老鼠2913,25,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
42,虫谷密林,3,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,月魔蜘蛛2801,30,0,0,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
42,虫谷密林,3,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,暴牙蜘蛛2804,20,干枯僵尸2828,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
42,虫谷密林,3,65,干枯僵尸2828,30,恶灵僵尸2829,30,恶灵尸王2830,20,蜈蚣2887,20,0,0,0,0,骷髅锤兵2825,20,0,0,0,0,堕灵2827,3
42,虫谷密林,4,40,蜈蚣2887,20,蠕虫288,20,跳跳蜂2890,20,山洞蝙蝠2899,20,0,0,0,0,杀人蜂2891,10,0,0,0,0,虹魔蝎卫2892,1
42,虫谷密林,4,45,山洞蝙蝠2899,20,沃玛战士2900,20,沃玛勇士2901,20,暗黑战士2903,20,红野猪2907,25,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
42,虫谷密林,4,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,野猪射手2910,20,祖玛老鼠2913,25,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
42,虫谷密林,4,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,祖玛弓箭手2916,20,月魔蜘蛛2801,30,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
42,虫谷密林,4,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,黑锷蜘蛛2803,20,暴牙蜘蛛2804,20,匍匐僵尸2821,30,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
42,虫谷密林,4,65,匍匐僵尸2821,30,干枯僵尸2828,30,恶灵僵尸2829,20,恶灵尸王2830,20,小树妖2867,20,0,0,骷髅锤兵2825,20,0,0,0,0,堕灵2827,3
43,喋血之路,0,40,小树妖2867,20,稻草人2868,20,山洞蝙蝠2899,20,0,0,0,0,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
43,喋血之路,0,45,山洞蝙蝠2899,20,沃玛战士2900,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
43,喋血之路,0,50,恶蛆2906,25,红野猪2907,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
43,喋血之路,0,55,祖玛老鼠2913,25,祖玛卫士2914,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
43,喋血之路,0,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,魔龙邪眼2814,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
43,喋血之路,0,65,魔龙邪眼2814,30,魔龙刀兵2815,30,小树妖2867,20,0,0,0,0,0,0,魔龙力士 千斤斩2818,20,0,0,0,0,魔龙巨蛾 诱幻2820,3
43,喋血之路,1,40,小树妖2867,20,稻草人2868,20,钉耙猫2869,20,山洞蝙蝠2899,20,0,0,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
43,喋血之路,1,45,山洞蝙蝠2899,20,沃玛勇士2901,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
43,喋血之路,1,50,恶蛆2906,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
43,喋血之路,1,55,祖玛老鼠2913,25,祖玛雕像2915,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
43,喋血之路,1,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,魔龙邪眼2814,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
43,喋血之路,1,65,魔龙邪眼2814,30,魔龙破甲兵2816,30,小树妖2867,20,0,0,0,0,0,0,魔龙力士 千斤斩2818,20,0,0,0,0,魔龙巨蛾 诱幻2820,3
43,喋血之路,2,40,小树妖2867,20,稻草人2868,20,海蟹2870,20,山洞蝙蝠2899,20,0,0,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
43,喋血之路,2,45,山洞蝙蝠2899,20,沃玛战将2902,20,红野猪2907,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
43,喋血之路,2,50,红野猪2907,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
43,喋血之路,2,55,祖玛老鼠2913,25,祖玛弓箭手2916,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
43,喋血之路,2,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,暴牙蜘蛛2804,20,魔龙邪眼2814,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
43,喋血之路,2,65,魔龙邪眼2814,30,魔龙射手2817,30,小树妖2867,20,山洞蝙蝠2899,20,0,0,0,0,魔龙力士 千斤斩2818,20,0,0,0,0,魔龙巨蛾 诱幻2820,3
43,喋血之路,3,40,小树妖2867,20,海蟹2870,20,钉耙猫2869,20,红野猪2907,25,0,0,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
43,喋血之路,3,45,山洞蝙蝠2899,20,暗黑战士2903,20,沃玛勇士2901,20,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
43,喋血之路,3,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,祖玛老鼠2913,25,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
43,喋血之路,3,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,月魔蜘蛛2801,30,0,0,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
43,喋血之路,3,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,暴牙蜘蛛2804,20,魔龙邪眼2814,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
43,喋血之路,3,65,魔龙邪眼2814,30,魔龙刀兵2815,30,魔龙破甲兵2816,20,小树妖2867,20,0,0,0,0,魔龙战将 阴杀2819,20,0,0,0,0,魔龙巨蛾 诱幻2820,3
43,喋血之路,4,40,小树妖2867,20,稻草人2868,20,钉耙猫2869,20,海蟹2870,20,山洞蝙蝠2899,20,0,0,树妖2871,10,0,0,0,0,钉耙猫2872,1
43,喋血之路,4,45,山洞蝙蝠2899,20,沃玛战士2900,20,沃玛勇士2901,20,暗黑战士2903,20,红野猪2907,25,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
43,喋血之路,4,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,野猪射手2910,20,祖玛老鼠2913,25,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
43,喋血之路,4,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,祖玛弓箭手2916,20,月魔蜘蛛2801,30,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
43,喋血之路,4,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,黑锷蜘蛛2803,20,暴牙蜘蛛2804,20,魔龙邪眼2814,30,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
43,喋血之路,4,65,魔龙邪眼2814,30,魔龙刀兵2815,30,魔龙破甲兵2816,20,魔龙射手2817,20,楔蛾2893,20,0,0,魔龙战将 阴杀2819,20,0,0,0,0,魔龙巨蛾 诱幻2820,3
44,突入天门,0,40,楔蛾2893,20,钳虫2894,20,山洞蝙蝠2899,20,0,0,0,0,0,0,邪恶钳虫2897,10,0,0,0,0,蛇蝎道士2898,1
44,突入天门,0,45,山洞蝙蝠2899,20,沃玛战士2900,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
44,突入天门,0,50,恶蛆2906,25,红野猪2907,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
44,突入天门,0,55,祖玛老鼠2913,25,祖玛卫士2914,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
44,突入天门,0,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,白霜战士2861,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
44,突入天门,0,65,白霜战士2861,30,暗雪战士2862,30,楔蛾2893,20,0,0,0,0,0,0,部族精锐2865,20,0,0,0,0,暗雪骁卫2866,3
44,突入天门,1,40,楔蛾2893,20,圣甲虫2895,20,山洞蝙蝠2899,20,0,0,0,0,0,0,邪恶钳虫2897,10,0,0,0,0,蛇蝎道士2898,1
44,突入天门,1,45,山洞蝙蝠2899,20,沃玛勇士2901,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
44,突入天门,1,50,恶蛆2906,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
44,突入天门,1,55,祖玛老鼠2913,25,祖玛雕像2915,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
44,突入天门,1,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,白霜战士2861,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
44,突入天门,1,65,白霜战士2861,30,龙火战士2863,30,楔蛾2893,20,0,0,0,0,0,0,部族精锐2865,20,0,0,0,0,暗雪骁卫2866,3
44,突入天门,2,40,楔蛾2893,20,黄蜂2896,20,山洞蝙蝠2899,20,0,0,0,0,0,0,邪恶钳虫2897,10,0,0,0,0,蛇蝎道士2898,1
44,突入天门,2,45,山洞蝙蝠2899,20,沃玛战将2902,20,红野猪2907,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
44,突入天门,2,50,红野猪2907,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
44,突入天门,2,55,祖玛老鼠2913,25,祖玛弓箭手2916,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
44,突入天门,2,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,暴牙蜘蛛2804,20,白霜战士2861,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
44,突入天门,2,65,白霜战士2861,30,蛮族射手2864,30,楔蛾2893,20,0,0,0,0,0,0,部族精锐2865,20,0,0,0,0,暗雪骁卫2866,3
44,突入天门,3,40,楔蛾2893,20,钳虫2894,20,圣甲虫2895,20,山洞蝙蝠2899,20,0,0,0,0,邪恶钳虫2897,10,0,0,0,0,蛇蝎道士2898,1
44,突入天门,3,45,山洞蝙蝠2899,20,暗黑战士2903,20,沃玛勇士2901,20,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
44,突入天门,3,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,祖玛老鼠2913,25,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
44,突入天门,3,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,月魔蜘蛛2801,30,0,0,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
44,突入天门,3,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,暴牙蜘蛛2804,20,白霜战士2861,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
44,突入天门,3,65,白霜战士2861,30,暗雪战士2862,30,龙火战士2863,20,楔蛾2893,20,0,0,0,0,部族精锐2865,20,0,0,0,0,暗雪骁卫2866,3
44,突入天门,4,40,楔蛾2893,20,钳虫2894,20,圣甲虫2895,20,黄蜂2896,20,山洞蝙蝠2899,20,0,0,邪恶钳虫2897,10,0,0,0,0,蛇蝎道士2898,1
44,突入天门,4,45,山洞蝙蝠2899,20,沃玛战士2900,20,沃玛勇士2901,20,暗黑战士2903,20,红野猪2907,25,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
44,突入天门,4,50,红野猪2907,25,黑野猪2908,25,白野猪2909,20,野猪射手2910,20,祖玛老鼠2913,25,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
44,突入天门,4,55,祖玛老鼠2913,25,祖玛卫士2914,25,祖玛雕像2915,20,祖玛弓箭手2916,20,月魔蜘蛛2801,30,0,0,精英卫士2918,15,0,0,0,0,祖玛教主2919,2
44,突入天门,4,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,黑锷蜘蛛2803,20,暴牙蜘蛛2804,20,白霜战士2861,30,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
44,突入天门,4,65,白霜战士2861,30,暗雪战士2862,30,龙火战士2863,20,蛮族射手2864,20,爬行僵尸2880,20,0,0,部族精锐2865,20,0,0,0,0,暗雪骁卫2866,3
45,血污监牢,0,40,爬行僵尸2880,20,直立僵尸2881,20,山洞蝙蝠2899,20,0,0,0,0,0,0,矿工僵尸头目2884,10,0,0,0,0,尸王2885,1
45,血污监牢,0,45,山洞蝙蝠2899,20,沃玛战士2900,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
45,血污监牢,0,50,恶蛆2906,25,红野猪2907,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
45,血污监牢,0,55,祖玛老鼠2913,25,祖玛卫士2914,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
45,血污监牢,0,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,兽人厨师2807,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
45,血污监牢,0,65,兽人厨师2807,30,兽人僵尸2808,30,爬行僵尸2880,20,0,0,0,0,0,0,精锐狼骑兵2812,20,0,0,0,0,兽人大祭司2813,3
45,血污监牢,1,40,爬行僵尸2880,20,僧侣僵尸2882,20,山洞蝙蝠2899,20,0,0,0,0,0,0,矿工僵尸头目2884,10,0,0,0,0,尸王2885,1
45,血污监牢,1,45,山洞蝙蝠2899,20,沃玛勇士2901,20,恶蛆2906,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
45,血污监牢,1,50,恶蛆2906,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
45,血污监牢,1,55,祖玛老鼠2913,25,祖玛雕像2915,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
45,血污监牢,1,60,月魔蜘蛛2801,30,黑锷蜘蛛2803,30,兽人厨师2807,30,0,0,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
45,血污监牢,1,65,兽人厨师2807,30,兽人狂战2809,30,爬行僵尸2880,20,0,0,0,0,0,0,精锐狼骑兵2812,20,0,0,0,0,兽人大祭司2813,3
45,血污监牢,2,40,爬行僵尸2880,20,道士僵尸2883,20,山洞蝙蝠2899,20,0,0,0,0,0,0,矿工僵尸头目2884,10,0,0,0,0,尸王2885,1
45,血污监牢,2,45,山洞蝙蝠2899,20,沃玛战将2902,20,红野猪2907,25,0,0,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
45,血污监牢,2,50,红野猪2907,25,黑野猪2908,25,祖玛老鼠2913,25,0,0,0,0,0,0,猪卫斧2911,15,0,0,0,0,虹魔教主2912,2
45,血污监牢,2,55,祖玛老鼠2913,25,祖玛弓箭手2916,25,月魔蜘蛛2801,30,0,0,0,0,0,0,精英雕像2917,15,0,0,0,0,祖玛教主2919,2
45,血污监牢,2,60,月魔蜘蛛2801,30,天狼蜘蛛2802,30,暴牙蜘蛛2804,20,兽人厨师2807,30,0,0,0,0,花吻蜘蛛 幻花2805,20,0,0,0,0,幻影蜘蛛2806,3
45,血污监牢,2,65,兽人厨师2807,30,兽人僵尸2808,30,失狼兽骑2810,20,爬行僵尸2880,20,0,0,0,0,精锐狼骑兵2812,20,0,0,0,0,兽人大祭司2813,3
45,血污监牢,3,40,爬行僵尸2880,20,直立僵尸2881,20,僧侣僵尸2882,20,山洞蝙蝠2899,20,0,0,0,0,矿工僵尸头目2884,10,0,0,0,0,尸王2885,1
45,血污监牢,3,45,山洞蝙蝠2899,20,暗黑战士2903,20,沃玛勇士2901,20,红野猪2907,25,0,0,0,0,火焰沃玛2904,10,0,0,0,0,沃玛教主2905,1
