怪物序号,基础一组,基础二组,基础三组,基础四组,基础五组,基础六组,基础七组,基础八组,基础九组,基础十组,基础11组,基础12组,基础13组,基础14组,基础15组,秘标一组,秘标二组,标精一组,标精二组,秘进一组,秘进二组,进精一组,进精二组,触发脚本
11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,魔殿牛魔法师,魔殿牛魔法师,null,null,魔殿牛魔法师,魔殿虚空龙仆,null,null,0
12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,魔殿牛魔法师,魔殿牛魔法师,null,null,魔殿牛魔法师,魔殿虚灵,null,null,0
13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,魔殿牛魔法师,魔殿牛魔法师,null,null,魔殿牛魔法师,魔殿虚灵,null,null,0
14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,魔殿牛魔法师,魔殿牛魔法师,null,null,魔殿牛魔法师,魔殿虚灵,null,null,0
15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,魔殿牛魔将军,魔殿牛魔将军,null,null,魔殿牛魔法师,魔殿虚灵,null,null,0
16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
