守卫编号,是否加载,所处地图,所处地名,所处坐标x,所处坐标y,所处方向,守卫名字,移动坐标,移动阻塞
6516,TRUE,27,修罗狩猎场,903,422,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,905,420,0,修罗场图腾,0,TRUE
6516,TRUE,28,修罗竞技场,1028,70,左方,修罗场图腾,0,TRUE
7146,TRUE,31,秘宝小镇,1067,209,右下,罡斩,0,TRUE
6521,TRUE,31,秘宝小镇,1047,195,左下,容剑,0,TRUE
6522,TRUE,31,秘宝小镇,956,216,左下,影笑,0,TRUE
6523,TRUE,31,秘宝小镇,1004,173,右下,红芸,0,TRUE
6524,TRUE,31,秘宝小镇,1002,238,左下,朴不二,0,TRUE
6525,TRUE,31,秘宝小镇,1049,202,左方,夏二丫,0,TRUE
6526,TRUE,31,秘宝小镇,1061,181,右下,百师,0,TRUE
6527,TRUE,31,秘宝小镇,1068,183,左上,香毒,0,TRUE
6528,TRUE,31,秘宝小镇,1054,216,左下,玛法通驿,0,TRUE
6530,TRUE,31,秘宝小镇,1079,195,左下,风翎,0,TRUE
6553,TRUE,35,遗落长廊,994,337,下方,玛法侍从35,0,TRUE
6555,TRUE,35,遗落长廊,976,321,下方,长廊雕像35,0,TRUE
6555,TRUE,35,遗落长廊,979,324,下方,长廊雕像35,0,TRUE
6555,TRUE,35,遗落长廊,981,316,下方,长廊雕像35,0,TRUE
6555,TRUE,35,遗落长廊,984,319,下方,长廊雕像35,0,TRUE
6555,TRUE,35,遗落长廊,987,322,下方,长廊雕像35,0,TRUE
6555,TRUE,35,遗落长廊,982,327,下方,长廊雕像35,0,TRUE
6556,TRUE,35,遗落长廊,960,326,下方,长廊雕像351,0,TRUE
6556,TRUE,35,遗落长廊,963,323,下方,长廊雕像351,0,TRUE
6556,TRUE,35,遗落长廊,963,329,下方,长廊雕像351,0,TRUE
6556,TRUE,35,遗落长廊,966,326,下方,长廊雕像351,0,TRUE
6556,TRUE,35,遗落长廊,966,332,下方,长廊雕像351,0,TRUE
6556,TRUE,35,遗落长廊,969,329,下方,长廊雕像351,0,TRUE
6558,TRUE,35,遗落长廊,994,334,下方,节日物资35,0,TRUE
6528,TRUE,40,无相之境,1021,286,右下,玛法通驿05,0,TRUE
6534,TRUE,40,无相之境,1020,291,右下,曜香01,0,TRUE
6571,TRUE,40,无相之境,1016,297,右下,熄焰恶魔,0,TRUE
6572,TRUE,40,无相之境,1013,292,左方,秘境大门,0,TRUE
6718,TRUE,40,无相之境,1018,291,右下,百师,0,TRUE
6326,TRUE,50,苍月岛,1203,432,右下,红莉,0,TRUE
6351,TRUE,50,苍月岛,1176,452,左下,宫茗,0,TRUE
6352,TRUE,50,苍月岛,1197,474,下方,清源,0,TRUE
6353,TRUE,50,苍月岛,1159,455,左下,灵雪儿,0,TRUE
6354,TRUE,50,苍月岛,1179,470,右下,菇瑟,0,TRUE
6355,TRUE,50,苍月岛,1173,438,左下,乐儿,0,TRUE
6356,TRUE,50,苍月岛,1201,447,下方,春淳,0,TRUE
6357,TRUE,50,苍月岛,1169,480,下方,涵浩,0,TRUE
6723,TRUE,50,苍月岛,1159,486,右上,卫士01,0,TRUE
6723,TRUE,50,苍月岛,1155,482,右上,卫士01,0,TRUE
6723,TRUE,50,苍月岛,1193,495,左上,卫士01,0,TRUE
6723,TRUE,50,苍月岛,1201,487,左上,卫士01,0,TRUE
6723,TRUE,50,苍月岛,1162,417,右下,卫士01,0,TRUE
6723,TRUE,50,苍月岛,1157,422,右下,卫士01,0,TRUE
7119,TRUE,50,苍月岛,1195,449,右下,玛法通驿,0,TRUE
8228,TRUE,50,苍月岛,1197,448,右下,武尊01,0,TRUE
6328,TRUE,53,骨魔洞三层,986,262,下方,镖师,0,TRUE
6663,TRUE,53,骨魔洞三层,1126,341,下方,药老,0,TRUE
6664,TRUE,53,骨魔洞三层,1128,341,下方,醉爷,0,TRUE
6329,TRUE,54,骨魔洞四层,966,351,下方,项天,0,TRUE
7121,TRUE,55,骨魔洞五层,1083,238,右下,香菇,0,TRUE
6327,TRUE,58,尸魔洞二层,953,438,右下,洛梨,0,TRUE
6330,TRUE,62,牛魔寺庙三层,1078,673,下方,提香,0,TRUE
6331,TRUE,64,牛魔寺庙五层,1088,226,下方,苍澜,0,TRUE
6332,TRUE,65,牛魔寺庙六层,831,299,左下,比奇老兵10,0,TRUE
7121,TRUE,66,牛魔寺庙大厅,1058,198,右下,香菇,0,TRUE
6302,TRUE,67,地宫长廊,989,279,下方,送宝人偶01,0,TRUE
6308,TRUE,67,地宫长廊,971,368,右下,李回春,0,TRUE
6322,TRUE,67,地宫长廊,989,209,右方,林纹02,0,TRUE
6322,TRUE,67,地宫长廊,1037,302,右方,林纹02,0,TRUE
6322,TRUE,67,地宫长廊,994,281,右方,林纹02,0,TRUE
6323,TRUE,67,地宫长廊,1036,305,下方,芭儿,0,TRUE
6323,TRUE,67,地宫长廊,969,371,下方,芭儿,0,TRUE
6323,TRUE,67,地宫长廊,988,211,下方,芭儿,0,TRUE
6323,TRUE,67,地宫长廊,992,282,下方,芭儿,0,TRUE
6303,TRUE,68,地下宫殿1,1025,35,下方,送宝人偶02,0,TRUE
6153,TRUE,70,演武场,1015,71,右下,武师,0,TRUE
6154,TRUE,70,演武场,1012,79,下方,吉叔,0,TRUE
6804,TRUE,72,魔虫窟,1145,384,右下,老吉,0,TRUE
6174,TRUE,72,魔虫窟,1146,381,右下,白老十,0,TRUE
6187,TRUE,74,秘宝广场,1066,167,右下,峡谷哨探,0,TRUE
6195,TRUE,75,沙城幻境,1029,523,下方,幻境守将01,0,TRUE
6165,TRUE,75,沙城幻境,1037,581,下方,幻境守将01,0,TRUE
6195,TRUE,75,沙城幻境,1096,521,右下,幻境守将01,0,TRUE
6211,TRUE,76,九层魔塔,1033,70,下方,雷九道02,0,TRUE
6210,TRUE,77,镜像空间,1020,123,下方,试炼侍从,0,TRUE
6292,TRUE,78,沙城战场,240,1301,右下,传送员,0,TRUE
6292,TRUE,78,沙城战场,296,1245,下方,传送员,0,TRUE
6779,TRUE,78,沙城战场,233,1310,下方,刀妹,0,TRUE
6779,TRUE,78,沙城战场,289,1254,下方,刀妹,0,TRUE
6172,TRUE,81,名人堂,980,218,右下,青伊,0,TRUE
6173,TRUE,81,名人堂,996,251,右下,搔的带感,0,TRUE
6195,TRUE,81,名人堂,996,246,下方,灬飞云灬,0,TRUE
6165,TRUE,81,名人堂,996,241,下方,丶佛丶,0,TRUE
6195,TRUE,81,名人堂,976,246,右下,呂布丶,0,TRUE
6210,TRUE,81,名人堂,976,241,下方,剛哥,0,TRUE
6211,TRUE,81,名人堂,976,251,下方,籣斯,0,TRUE
6211,TRUE,82,洞天福地,1118,222,下方,矿洞引路人02,0,TRUE
6292,TRUE,85,沙城战场,240,1301,下方,传送员,0,TRUE
6292,TRUE,85,沙城战场,296,1245,下方,传送员,0,TRUE
6779,TRUE,85,沙城战场,233,1310,下方,刀妹,0,TRUE
6779,TRUE,85,沙城战场,289,1254,下方,刀妹,0,TRUE
6304,TRUE,86,地下宫殿2,1025,35,下方,送宝人偶03,0,TRUE
6348,TRUE,87,未知暗殿一层,1208,377,下方,小诗,0,TRUE
6348,TRUE,87,未知暗殿一层,1072,269,左下,小诗,0,TRUE
6349,TRUE,87,未知暗殿一层,1205,377,下方,娇儿,0,TRUE
6349,TRUE,87,未知暗殿一层,1072,273,左下,娇儿,0,TRUE
6804,TRUE,87,未知暗殿一层,1206,374,下方,老吉,0,TRUE
6804,TRUE,87,未知暗殿一层,1074,275,左下,老吉,0,TRUE
6358,TRUE,87,未知暗殿一层,857,386,左下,阿聘,0,TRUE
6359,TRUE,87,未知暗殿一层,866,474,下方,小莹,0,TRUE
6361,TRUE,87,未知暗殿一层,860,386,左下,乐声,0,TRUE
6362,TRUE,87,未知暗殿一层,1210,377,下方,佩离,0,TRUE
6364,TRUE,87,未知暗殿一层,1129,325,下方,天眼,0,TRUE
6364,TRUE,87,未知暗殿一层,923,414,下方,天眼,0,TRUE
6364,TRUE,87,未知暗殿一层,927,308,下方,天眼,0,TRUE
6348,TRUE,88,未知暗殿二层,949,255,左下,小诗,0,TRUE
6349,TRUE,88,未知暗殿二层,946,252,下方,娇儿,0,TRUE
6358,TRUE,88,未知暗殿二层,1139,218,右下,阿聘,0,TRUE
9669,TRUE,92,备战大厅,1017,80,下方,兽人军需官,0,TRUE
6482,TRUE,93,白日门海岸,912,261,左上,白日门哨探,0,TRUE
8216,TRUE,93,白日门海岸,940,419,右下,月霞,0,TRUE
8217,TRUE,93,白日门海岸,943,417,右下,林溪,0,TRUE
8219,TRUE,93,白日门海岸,936,416,左下,阿浪,0,TRUE
6591,TRUE,93,白日门海岸,924,255,右上,船夫6591,0,TRUE
4792,TRUE,102,白日门城,952,446,左上,神秘老人,0,TRUE
4795,TRUE,102,白日门城,936,465,左下,神秘剑客,0,TRUE
6101,TRUE,102,白日门城,948,450,左上,讲古老人,0,TRUE
6112,TRUE,102,白日门城,945,474,左下,雷七道01,0,TRUE
6126,TRUE,102,白日门城,940,437,左上,金家铁匠,0,TRUE
6128,TRUE,102,白日门城,961,463,右下,江湖侠客,0,TRUE
6146,TRUE,102,白日门城,970,464,右下,小殊,0,TRUE
6152,TRUE,102,白日门城,951,473,右下,龙飞,0,TRUE
6155,TRUE,102,白日门城,962,462,右下,玛法武士,0,TRUE
6162,TRUE,102,白日门城,911,484,左下,姬妙手,0,TRUE
6169,TRUE,102,白日门城,942,490,右下,常百草,0,TRUE
6188,TRUE,102,白日门城,953,427,右上,金九月,0,TRUE
6192,TRUE,102,白日门城,949,428,左上,碧橙,0,TRUE
6194,TRUE,102,白日门城,946,431,左上,印十月,0,TRUE
6212,TRUE,102,白日门城,937,466,左下,雷九道01,0,TRUE
6239,TRUE,102,白日门城,938,460,左上,千仁往,0,TRUE
6242,TRUE,102,白日门城,952,472,右下,哨探,0,TRUE
6252,TRUE,102,白日门城,953,471,右下,游吟诗人,0,TRUE
6254,TRUE,102,白日门城,945,432,左上,阿诗,0,TRUE
6275,TRUE,102,白日门城,959,429,左上,道真,0,TRUE
6301,TRUE,102,白日门城,950,448,左上,镇魔守将01,0,TRUE
6307,TRUE,102,白日门城,935,458,左下,公会通缉,0,TRUE
6350,TRUE,102,白日门城,1028,490,右方,星移,0,TRUE
6371,TRUE,102,白日门城,954,444,左上,孟叔,0,TRUE
6387,TRUE,102,白日门城,936,462,左上,道哥,0,TRUE
6434,TRUE,102,白日门城,965,459,右下,博文,0,TRUE
6441,TRUE,102,白日门城,948,429,左上,游叔,0,TRUE
6460,TRUE,102,白日门城,938,493,右下,驯魔者,0,TRUE
6500,TRUE,102,白日门城,947,509,右下,魏隆悟,0,TRUE
6596,TRUE,102,白日门城,1106,402,右方,船夫,0,TRUE
6601,TRUE,102,白日门城,977,391,右方,少年将领,0,TRUE
6602,TRUE,102,白日门城,986,430,左下,未立,0,TRUE
6603,TRUE,102,白日门城,982,426,左下,未成,0,TRUE
6604,TRUE,102,白日门城,1023,508,右下,驿站管理员,0,TRUE
6605,TRUE,102,白日门城,954,470,右下,寺庙守将,0,TRUE
6606,TRUE,102,白日门城,960,464,右下,军需官,0,TRUE
6607,TRUE,102,白日门城,1029,496,右方,商队头领,0,TRUE
6609,TRUE,102,白日门城,966,458,右下,雪原货商,0,TRUE
6714,TRUE,102,白日门城,947,430,左上,紫容,0,TRUE
6717,TRUE,102,白日门城,951,483,右下,香毒,0,TRUE
6718,TRUE,102,白日门城,956,480,右下,百师,0,TRUE
6719,TRUE,102,白日门城,992,463,右下,红芸,0,TRUE
6720,TRUE,102,白日门城,987,479,右下,影笑,0,TRUE
6721,TRUE,102,白日门城,989,475,右上,容剑,0,TRUE
6726,TRUE,102,白日门城,931,505,左下,龙迁,0,TRUE
6728,TRUE,102,白日门城,940,508,左下,麦家铺子,0,TRUE
6740,TRUE,102,白日门城,940,458,左上,沙万军,0,TRUE
6771,TRUE,102,白日门城,955,429,右上,陈叔,0,TRUE
6783,TRUE,102,白日门城,930,504,左下,老沙,0,TRUE
6791,TRUE,102,白日门城,942,435,左上,三爷,0,TRUE
6792,TRUE,102,白日门城,968,466,右下,史万千,0,TRUE
6798,TRUE,102,白日门城,963,461,右下,老兵01,0,TRUE
6807,TRUE,102,白日门城,944,433,左上,四爷,0,TRUE
6809,TRUE,102,白日门城,957,431,右上,五爷,0,TRUE
6997,TRUE,102,白日门城,967,457,右下,秦天01,0,TRUE
7001,TRUE,102,白日门城,950,427,左上,雕爷,0,TRUE
7101,TRUE,102,白日门城,964,460,右下,玛法福利官,0,TRUE
7111,TRUE,102,白日门城,953,481,右下,思景01,0,TRUE
7119,TRUE,102,白日门城,972,462,右下,玛法通驿,0,TRUE
7166,TRUE,102,白日门城,950,474,右下,地脉使者01,0,TRUE
8230,TRUE,102,白日门城,859,552,左下,林威将军24,0,TRUE
8231,TRUE,102,白日门城,946,475,左下,女武师24,0,TRUE
8237,TRUE,102,白日门城,947,476,左下,白日门天师24,0,TRUE
8461,TRUE,102,白日门城,950,444,右下,公告牌1,0,TRUE
8463,TRUE,102,白日门城,989,466,右下,夏二丫,0,TRUE
8464,TRUE,102,白日门城,991,464,右下,朴不二,0,TRUE
8465,TRUE,102,白日门城,928,502,左下,林达,0,TRUE
9658,TRUE,102,白日门城,968,456,右下,神秘学者,0,TRUE
6388,TRUE,102,白日门城,936,462,下方,道哥01,0,TRUE
2440,TRUE,103,遗落寺庙,770,861,左上,小阿飞,0,TRUE
2441,TRUE,103,遗落寺庙,771,860,左上,大飞哥,0,TRUE
6804,TRUE,103,遗落寺庙,772,859,左上,老吉,0,TRUE
2440,TRUE,103,遗落寺庙,1279,861,右上,小阿飞,0,TRUE
2441,TRUE,103,遗落寺庙,1278,860,右上,大飞哥,0,TRUE
6804,TRUE,103,遗落寺庙,1277,859,右上,老吉,0,TRUE
2440,TRUE,103,遗落寺庙,1278,354,左上,小阿飞,0,TRUE
2441,TRUE,103,遗落寺庙,1277,355,左上,大飞哥,0,TRUE
6804,TRUE,103,遗落寺庙,1276,356,左上,老吉,0,TRUE
2440,TRUE,103,遗落寺庙,774,357,右上,小阿飞,0,TRUE
2441,TRUE,103,遗落寺庙,775,358,右上,大飞哥,0,TRUE
6804,TRUE,103,遗落寺庙,773,356,右上,老吉,0,TRUE
6605,TRUE,103,遗落寺庙,776,359,右上,寺庙守将,0,TRUE
6592,TRUE,105,赤月群岛,1066,200,左上,船夫6592,0,TRUE
6590,TRUE,105,赤月群岛,1143,285,左下,原住民熊山,0,TRUE
6578,TRUE,105,赤月群岛,1141,284,左下,伏犽,0,TRUE
6576,TRUE,105,赤月群岛,1088,190,下方,星狸,0,TRUE
6579,TRUE,105,赤月群岛,1143,274,右上,古老神树,0,TRUE
6589,TRUE,105,赤月群岛,1148,268,右上,妖族白鹿,0,TRUE
6577,TRUE,105,赤月群岛,1151,271,右上,祸狐,0,TRUE
6775,TRUE,105,赤月群岛,1154,274,右上,月灵香,0,TRUE
6776,TRUE,105,赤月群岛,1154,277,右下,红菇,0,TRUE
6588,TRUE,105,赤月群岛,1085,323,左下,索株,0,TRUE
6587,TRUE,105,赤月群岛,1223,318,右上,老旧园丁6587,0,TRUE
6593,TRUE,106,嚎哭密林,1044,176,下方,老旧园丁6593,0,TRUE
6594,TRUE,106,嚎哭密林,945,286,右下,密林管理员6594,0,TRUE
6595,TRUE,106,嚎哭密林,970,305,左上,密林管理员6595,0,TRUE
7121,TRUE,110,远古禁域,1029,50,上方,香菇,0,TRUE
6420,TRUE,111,陵墓浅表,1043,277,下方,负伤的大祭祀,0,TRUE
6421,TRUE,112,陵墓深层,1031,378,下方,通灵古椁,0,TRUE
6422,TRUE,112,陵墓深层,1010,234,下方,天师之影,0,TRUE
6481,TRUE,113,龙耀崖,1151,587,左方,负伤的哨探,0,TRUE
6483,TRUE,113,龙耀崖,1279,542,右下,奎叔,0,TRUE
6484,TRUE,113,龙耀崖,1097,751,左下,克翁,0,TRUE
6485,TRUE,113,龙耀崖,1103,731,右下,雪域军需官,0,TRUE
6486,TRUE,113,龙耀崖,1089,742,下方,雪域护民官,0,TRUE
6609,TRUE,113,龙耀崖,1095,725,右方,雪原货商,0,TRUE
6608,TRUE,113,龙耀崖,1086,729,右下,商队驿使,0,TRUE
9663,TRUE,113,龙耀崖,1067,739,下方,魔龙匠师,0,TRUE
6485,TRUE,114,黑岩峰底,664,471,左下,雪域军需官,0,TRUE
6486,TRUE,114,黑岩峰底,678,478,左下,雪域护民官,0,TRUE
6487,TRUE,114,黑岩峰底,848,419,左下,暗雪幸存者,0,TRUE
6488,TRUE,114,黑岩峰底,894,263,右方,阿特仔,0,TRUE
6489,TRUE,114,黑岩峰底,670,474,右下,卓尔玛,0,TRUE
6485,TRUE,115,龙栖峰,923,389,左下,雪域军需官,0,TRUE
6490,TRUE,115,龙栖峰,938,397,右下,卓尔玛01,0,TRUE
6548,TRUE,115,龙栖峰,918,474,下方,暗雪哨探,0,TRUE
6485,TRUE,116,冰川地脉,1199,279,右方,雪域军需官,0,TRUE
6486,TRUE,116,冰川地脉,1194,272,右方,雪域护民官,0,TRUE
6541,TRUE,116,冰川地脉,1184,265,右下,暗雪村民,0,TRUE
6542,TRUE,116,冰川地脉,1195,286,下方,伊尔,0,TRUE
6547,TRUE,116,冰川地脉,1199,282,右方,暗雪令使,0,TRUE
6543,TRUE,117,霜火地脉,1053,455,右下,挣扎的龙仆,0,TRUE
6544,TRUE,117,霜火地脉,906,284,左下,弥留枪手,0,TRUE
6485,TRUE,118,龙血地脉,932,203,右下,雪域军需官,0,TRUE
6546,TRUE,118,龙血地脉,936,198,右下,龙火族长,0,TRUE
6996,TRUE,121,勇者试炼之地,1025,113,下方,小游02,0,TRUE
6990,TRUE,122,试炼幻境,1025,113,右下,洛命,0,TRUE
8232,TRUE,123,石原荒漠,1172,204,下方,石原难民24,0,TRUE
8233,TRUE,123,石原荒漠,1080,187,右上,难民首领24,0,TRUE
8234,TRUE,123,石原荒漠,964,196,右下,难民游侠24,0,TRUE
8235,TRUE,123,石原荒漠,1135,197,右方,逃亡半兽人2401,0,TRUE
8250,TRUE,123,石原荒漠,994,204,右下,荒漠鹰卫,0,TRUE
8236,TRUE,123,石原荒漠,868,213,下方,受伤的半兽人斥候2402,0,TRUE
8243,TRUE,123,石原荒漠,1133,196,下方,荒漠守卫01,0,TRUE
8244,TRUE,123,石原荒漠,1134,200,下方,荒漠守卫02,0,TRUE
8229,TRUE,124,石原废墟,996,342,右下,离魅24,0,TRUE
8238,TRUE,124,石原废墟,878,252,右下,哨探鹰卫24,0,TRUE
8239,TRUE,124,石原废墟,971,236,右下,营地将领24,0,TRUE
8240,TRUE,124,石原废墟,1037,174,左上,药剂师24,0,TRUE
8241,TRUE,124,石原废墟,1009,289,右下,幸存者24,0,TRUE
8242,TRUE,124,石原废墟,1141,266,右下,幸存者勇士24,0,TRUE
2441,TRUE,124,石原废墟,1037,181,左下,大飞哥,0,TRUE
6308,TRUE,124,石原废墟,1043,175,右上,李回春,0,TRUE
6485,TRUE,125,黑岩山麓,922,361,右下,雪域军需官,0,TRUE
6536,TRUE,125,黑岩山麓,1018,577,下方,斥候首领,0,TRUE
6537,TRUE,125,黑岩山麓,909,370,左下,雪域指挥官01,0,TRUE
6538,TRUE,125,黑岩山麓,931,342,左下,雪域勇士,0,TRUE
6538,TRUE,125,黑岩山麓,926,337,左下,雪域勇士,0,TRUE
6538,TRUE,125,黑岩山麓,1015,577,下方,雪域勇士,0,TRUE
6538,TRUE,125,黑岩山麓,1021,577,下方,雪域勇士,0,TRUE
6539,TRUE,125,黑岩山麓,1114,433,下方,受伤的勇士,0,TRUE
6549,TRUE,125,黑岩山麓,908,362,左下,岩琳珑,0,TRUE
7174,TRUE,125,黑岩山麓,994,587,下方,卓尔玛02,0,TRUE
7176,TRUE,125,黑岩山麓,990,589,下方,雪域封印,0,TRUE
6538,TRUE,126,巨龙之巅,1057,165,右下,雪域勇士,0,TRUE
6538,TRUE,126,巨龙之巅,1052,163,左方,雪域勇士,0,TRUE
6540,TRUE,126,巨龙之巅,1055,163,上方,前线指挥官01,0,TRUE
6728,TRUE,127,公会属地,952,470,0,麦家铺子,0,TRUE
6861,TRUE,127,公会属地,974,514,0,玉轩公,0,TRUE
6863,TRUE,127,公会属地,931,580,0,司巫02,0,TRUE
6864,TRUE,127,公会属地,960,500,0,沙万,0,TRUE
6880,TRUE,127,公会属地,987,510,0,公会使者01,0,TRUE
6881,TRUE,127,公会属地,972,495,0,阿海01,0,TRUE
6882,TRUE,127,公会属地,975,498,0,阿林01,0,TRUE
6885,TRUE,127,公会属地,1116,368,0,陈诚01,0,TRUE
6898,TRUE,127,公会属地,953,485,0,莫公01,0,TRUE
6904,TRUE,127,公会属地,976,516,0,司巫01,0,TRUE
6905,TRUE,127,公会属地,967,507,0,祖巫01,0,TRUE
6907,TRUE,127,公会属地,963,503,0,夏家婶婶01,0,TRUE
6909,TRUE,127,公会属地,983,506,0,龙漠,0,TRUE
8251,TRUE,131,石原矿洞,943,214,左下,矿洞鹰卫,0,TRUE
8252,TRUE,131,石原矿洞,946,217,左下,无为08,0,TRUE
7121,TRUE,131,石原矿洞,1121,323,右下,香菇,0,TRUE
6404,TRUE,132,荒原秘境,824,335,下方,秘境商人,0,TRUE
4748,TRUE,142,边界村,865,462,右下,新手接待员,0,TRUE
4749,TRUE,142,边界村,628,630,右下,朴有界,0,TRUE
4750,TRUE,142,边界村,948,453,右下,小潘,0,TRUE
4751,TRUE,142,边界村,951,453,右下,铁大娘,0,TRUE
4752,TRUE,142,边界村,962,434,右下,张屠夫,0,TRUE
4753,TRUE,142,边界村,961,438,右下,小潘,0,TRUE
4754,TRUE,142,边界村,906,373,右上,吉大爷,0,TRUE
4755,TRUE,142,边界村,922,415,右上,小涛,0,TRUE
4756,TRUE,142,边界村,921,416,左下,小毅,0,TRUE
4757,TRUE,142,边界村,927,483,左下,武大娘,0,TRUE
4758,TRUE,142,边界村,897,479,左下,王屠夫,0,TRUE
4759,TRUE,142,边界村,863,418,左上,扫地劳工01,0,TRUE
4759,TRUE,142,边界村,904,447,左下,扫地劳工01,0,TRUE
4760,TRUE,142,边界村,936,468,右下,赵婶,0,TRUE
6432,TRUE,142,边界村,894,457,左方,博莉,0,TRUE
6434,TRUE,142,边界村,903,463,左下,博文,0,TRUE
6436,TRUE,142,边界村,894,454,左方,博展,0,TRUE
6661,TRUE,142,边界村,918,423,右下,玲月04,0,TRUE
6662,TRUE,142,边界村,898,502,右下,白玉兰,0,TRUE
6663,TRUE,142,边界村,907,485,右方,药老,0,TRUE
6664,TRUE,142,边界村,904,492,右下,醉爷,0,TRUE
6665,TRUE,142,边界村,654,660,左下,阿吉,0,TRUE
6666,TRUE,142,边界村,941,417,右下,龙爷,0,TRUE
6667,TRUE,142,边界村,942,416,右下,百火,0,TRUE
6669,TRUE,142,边界村,866,461,右下,边界村老兵02,0,TRUE
6671,TRUE,142,边界村,885,442,左下,阿英,0,TRUE
6672,TRUE,142,边界村,884,496,左下,王铁匠,0,TRUE
6673,TRUE,142,边界村,1295,737,右下,熊大01,0,TRUE
6674,TRUE,142,边界村,1292,741,右下,狼二01,0,TRUE
6676,TRUE,142,边界村,1296,735,右下,黑五,0,TRUE
6677,TRUE,142,边界村,1290,740,右下,良玉,0,TRUE
6678,TRUE,142,边界村,1079,756,左下,信使随从,0,TRUE
6679,TRUE,142,边界村,882,494,左下,王大锤,0,TRUE
6680,TRUE,142,边界村,665,664,右下,玉娘,0,TRUE
6682,TRUE,142,边界村,891,505,左下,朴无界,0,TRUE
6683,TRUE,142,边界村,860,465,右下,南苍公,0,TRUE
6684,TRUE,142,边界村,901,461,右下,阿九08,0,TRUE
6685,TRUE,142,边界村,1006,512,右下,朴十八,0,TRUE
6686,TRUE,142,边界村,1094,452,右下,铁牛,0,TRUE
6687,TRUE,142,边界村,1075,589,左下,比奇信使,0,TRUE
6688,TRUE,142,边界村,1033,329,右下,贝儿,0,TRUE
6689,TRUE,142,边界村,1246,641,左下,铁牛02,0,TRUE
6690,TRUE,142,边界村,1096,447,右方,达叔,0,TRUE
6723,TRUE,142,边界村,858,412,左上,卫士01,0,TRUE
6723,TRUE,142,边界村,864,406,左上,卫士01,0,TRUE
6723,TRUE,142,边界村,881,483,左上,卫士01,0,TRUE
6723,TRUE,142,边界村,884,480,左上,卫士01,0,TRUE
6723,TRUE,142,边界村,935,375,左下,卫士01,0,TRUE
6723,TRUE,142,边界村,939,379,左下,卫士01,0,TRUE
6723,TRUE,142,边界村,942,497,左上,卫士01,0,TRUE
